t, position, vel
0.0, 0.0202, 1.02
0.02, 0.0408, 1.04
0.04, 0.06180000000000001, 1.06
0.06, 0.08320000000000001, 1.08
0.08, 0.10500000000000001, 1.1
0.1, 0.1272, 1.12
0.12, 0.14980000000000002, 1.1400000000000001
0.14, 0.1728, 1.1600000000000001
0.16, 0.1962, 1.1800000000000002
0.18, 0.22000000000000003, 1.2000000000000002
0.2, 0.24420000000000003, 1.2200000000000002
0.22, 0.26880000000000004, 1.2400000000000002
0.24, 0.29380000000000006, 1.2600000000000002
0.26, 0.31920000000000004, 1.2800000000000002
0.28, 0.34500000000000003, 1.3000000000000003
0.3, 0.37120000000000003, 1.3200000000000003
0.32, 0.39780000000000004, 1.3400000000000003
0.34, 0.42480000000000007, 1.3600000000000003
0.36, 0.45220000000000005, 1.3800000000000003
0.38, 0.48000000000000004, 1.4000000000000004
0.4, 0.5082000000000001, 1.4200000000000004
0.42, 0.5368, 1.4400000000000004
0.44, 0.5658000000000001, 1.4600000000000004
0.46, 0.5952000000000001, 1.4800000000000004
0.48, 0.6250000000000001, 1.5000000000000004
0.5, 0.6552000000000001, 1.5200000000000005
0.52, 0.6858000000000001, 1.5400000000000005
0.54, 0.7168000000000001, 1.5600000000000005
0.56, 0.7482000000000001, 1.5800000000000005
0.58, 0.7800000000000001, 1.6000000000000005
0.6, 0.8122000000000001, 1.6200000000000006
0.62, 0.8448000000000001, 1.6400000000000006
0.64, 0.8778000000000001, 1.6600000000000006
0.66, 0.9112000000000001, 1.6800000000000006
0.68, 0.9450000000000002, 1.7000000000000006
0.7, 0.9792000000000002, 1.7200000000000006
0.72, 1.0138000000000003, 1.7400000000000007
0.74, 1.0488000000000002, 1.7600000000000007
0.76, 1.0842000000000003, 1.7800000000000007
0.78, 1.1200000000000003, 1.8000000000000007
0.8, 1.1562000000000003, 1.8200000000000007
0.82, 1.1928000000000003, 1.8400000000000007
0.84, 1.2298000000000002, 1.8600000000000008
0.86, 1.2672000000000003, 1.8800000000000008
0.88, 1.3050000000000004, 1.9000000000000008
0.9, 1.3432000000000004, 1.9200000000000008
0.92, 1.3818000000000004, 1.9400000000000008
0.94, 1.4208000000000003, 1.9600000000000009
0.96, 1.4602000000000004, 1.9800000000000009
0.98, 1.5000000000000004, 2.0
1.0, 1.5400000000000005, 2.0
1.02, 1.5800000000000005, 2.0
1.04, 1.6200000000000006, 2.0
1.06, 1.6600000000000006, 2.0
1.08, 1.7000000000000006, 2.0
1.1, 1.7400000000000007, 2.0
1.12, 1.7800000000000007, 2.0
1.14, 1.8200000000000007, 2.0
1.16, 1.8600000000000008, 2.0
1.18, 1.9000000000000008, 2.0
1.2, 1.9400000000000008, 2.0
1.22, 1.9800000000000009, 2.0
1.24, 2.020000000000001, 2.0
1.26, 2.060000000000001, 2.0
1.28, 2.100000000000001, 2.0
1.3, 2.140000000000001, 2.0
1.32, 2.180000000000001, 2.0
1.34, 2.220000000000001, 2.0
1.36, 2.260000000000001, 2.0
1.38, 2.300000000000001, 2.0
1.4, 2.340000000000001, 2.0
1.42, 2.3800000000000012, 2.0
1.44, 2.4200000000000013, 2.0
1.46, 2.4600000000000013, 2.0
1.48, 2.5000000000000013, 2.0
1.5, 2.5400000000000014, 2.0
1.52, 2.5800000000000014, 2.0
1.54, 2.6200000000000014, 2.0
1.56, 2.6600000000000015, 2.0
1.58, 2.7000000000000015, 2.0
1.6, 2.7400000000000015, 2.0
1.62, 2.7800000000000016, 2.0
1.64, 2.8200000000000016, 2.0
1.66, 2.8600000000000017, 2.0
1.68, 2.9000000000000017, 2.0
1.7, 2.9400000000000017, 2.0
1.72, 2.9800000000000018, 2.0
1.74, 3.020000000000002, 2.0
1.76, 3.060000000000002, 2.0
1.78, 3.100000000000002, 2.0
1.8, 3.140000000000002, 2.0
1.82, 3.180000000000002, 2.0
1.84, 3.220000000000002, 2.0
1.86, 3.260000000000002, 2.0
1.88, 3.300000000000002, 2.0
1.9, 3.340000000000002, 2.0
1.92, 3.380000000000002, 2.0
1.94, 3.420000000000002, 2.0
1.96, 3.460000000000002, 2.0
1.98, 3.500000000000002, 2.0
2.0, 3.5400000000000023, 2.0
2.02, 3.5800000000000023, 2.0
2.04, 3.6200000000000023, 2.0
2.06, 3.6600000000000024, 2.0
2.08, 3.7000000000000024, 2.0
2.1, 3.7400000000000024, 2.0
2.12, 3.7800000000000025, 2.0
2.14, 3.8200000000000025, 2.0
2.16, 3.8600000000000025, 2.0
2.18, 3.9000000000000026, 2.0
2.2, 3.9400000000000026, 2.0
2.22, 3.9800000000000026, 2.0
2.24, 4.020000000000002, 2.0
2.26, 4.060000000000002, 2.0
2.28, 4.100000000000002, 2.0
2.3, 4.140000000000002, 2.0
2.32, 4.180000000000002, 2.0
2.34, 4.220000000000002, 2.0
2.36, 4.2600000000000025, 2.0
2.38, 4.3000000000000025, 2.0
2.4, 4.3400000000000025, 2.0
2.42, 4.380000000000003, 2.0
2.44, 4.420000000000003, 2.0
2.46, 4.460000000000003, 2.0
2.48, 4.500000000000003, 2.0
2.5, 4.540000000000003, 2.0
2.52, 4.580000000000003, 2.0
2.54, 4.620000000000003, 2.0
2.56, 4.660000000000003, 2.0
2.58, 4.700000000000003, 2.0
2.6, 4.740000000000003, 2.0
2.62, 4.780000000000003, 2.0
2.64, 4.820000000000003, 2.0
2.66, 4.860000000000003, 2.0
2.68, 4.900000000000003, 2.0
2.7, 4.940000000000003, 2.0
2.72, 4.980000000000003, 2.0
2.74, 5.020000000000003, 2.0
2.76, 5.060000000000003, 2.0
2.78, 5.100000000000003, 2.0
2.8, 5.140000000000003, 2.0
2.82, 5.180000000000003, 2.0
2.84, 5.220000000000003, 2.0
2.86, 5.260000000000003, 2.0
2.88, 5.300000000000003, 2.0
2.9, 5.340000000000003, 2.0
2.92, 5.3800000000000034, 2.0
2.94, 5.4200000000000035, 2.0
2.96, 5.4600000000000035, 2.0
2.98, 5.5000000000000036, 2.0
3.0, 5.540000000000004, 2.0
3.02, 5.580000000000004, 2.0
3.04, 5.620000000000004, 2.0
3.06, 5.660000000000004, 2.0
3.08, 5.700000000000004, 2.0
3.1, 5.740000000000004, 2.0
3.12, 5.780000000000004, 2.0
3.14, 5.820000000000004, 2.0
3.16, 5.860000000000004, 2.0
3.18, 5.900000000000004, 2.0
3.2, 5.940000000000004, 2.0
3.22, 5.980000000000004, 2.0
3.24, 6.019975000000004, 1.994999999999999
3.26, 6.059775000000004, 1.984999999999999
3.28, 6.099375000000004, 1.974999999999999
3.3, 6.138775000000004, 1.964999999999999
3.32, 6.1779750000000035, 1.954999999999999
3.34, 6.216975000000003, 1.9449999999999992
3.36, 6.255775000000003, 1.9349999999999992
3.38, 6.294375000000003, 1.9249999999999992
3.4, 6.332775000000003, 1.9149999999999991
3.42, 6.370975000000003, 1.9049999999999991
3.44, 6.408975000000003, 1.8949999999999991
3.46, 6.446775000000003, 1.8849999999999991
3.48, 6.4843750000000036, 1.8749999999999991
3.5, 6.521775000000003, 1.864999999999999
3.52, 6.558975000000004, 1.854999999999999
3.54, 6.595975000000005, 1.8449999999999986
3.56, 6.632775000000004, 1.8349999999999989
3.58, 6.669375000000004, 1.8249999999999988
3.6, 6.7057750000000045, 1.8149999999999988
3.62, 6.741975000000004, 1.8049999999999988
3.64, 6.777975000000003, 1.7949999999999993
